id,EmpID,ip,datetime,cardtype,type,EmpName
1,1001,192.168.1.1,2023-10-02 08:00:00,Visa,In,John Doe
2,1002,192.168.1.2,2023-10-02 08:15:00,MasterCard,Out,Jane Smith
3,1003,192.168.1.3,2023-10-02 08:30:00,American Express,In,Bob Johnson
4,1004,192.168.1.4,2023-10-02 08:45:00,Discover,Out,Alice Brown
5,1005,192.168.1.5,2023-10-02 09:00:00,Visa,In,Emily Davis
1,1001,192.168.1.1,2023-10-02 08:00:00,Visa,In,John Doe
2,1002,192.168.1.2,2023-10-02 08:15:00,MasterCard,Out,Jane Smith
3,1003,192.168.1.3,2023-10-02 08:30:00,American Express,In,Bob Johnson
4,1004,192.168.1.4,2023-10-02 08:45:00,Discover,Out,Alice Brown
5,1005,192.168.1.5,2023-10-02 09:00:00,Visa,In,Emily Davis
